,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
σ[54],0.72,0.024,0.675,0.766,0.0,0.0,8936.0,3012.0,1.0
σ[55],0.506,0.017,0.474,0.538,0.0,0.0,9151.0,3075.0,1.0
σ[56],0.338,0.012,0.317,0.36,0.0,0.0,10042.0,3078.0,1.0
σ[57],0.871,0.029,0.818,0.926,0.0,0.0,9909.0,3232.0,1.0
σ[58],0.488,0.017,0.456,0.519,0.0,0.0,9366.0,2919.0,1.0
σ[59],0.975,0.033,0.913,1.039,0.0,0.0,9740.0,2620.0,1.0
σ[60],0.96,0.033,0.9,1.02,0.0,0.0,10857.0,2745.0,1.0
σ[61],0.47,0.016,0.441,0.5,0.0,0.0,8348.0,2415.0,1.0
σ[62],0.745,0.025,0.699,0.792,0.0,0.0,9331.0,2350.0,1.0
σ[63],0.605,0.021,0.567,0.644,0.0,0.0,9087.0,2413.0,1.0
σ[64],0.598,0.02,0.559,0.634,0.0,0.0,9040.0,3021.0,1.0
σ[65],1.122,0.039,1.048,1.194,0.0,0.0,9615.0,2675.0,1.0
σ[66],0.254,0.009,0.237,0.27,0.0,0.0,11604.0,2522.0,1.0
σ[67],0.35,0.012,0.326,0.372,0.0,0.0,11543.0,2436.0,1.0
σ[68],0.396,0.013,0.373,0.422,0.0,0.0,9384.0,2770.0,1.0
σ[69],0.515,0.017,0.484,0.548,0.0,0.0,10062.0,2909.0,1.0
σ[70],0.498,0.017,0.466,0.531,0.0,0.0,9116.0,2724.0,1.0
σ[71],0.453,0.016,0.425,0.484,0.0,0.0,12434.0,2567.0,1.0
σ[72],0.641,0.021,0.601,0.681,0.0,0.0,11183.0,2970.0,1.0
σ[73],0.369,0.013,0.345,0.394,0.0,0.0,11206.0,2655.0,1.0
σ[74],0.454,0.015,0.424,0.481,0.0,0.0,9190.0,2634.0,1.0
μ[0],6.302,0.041,6.225,6.376,0.0,0.0,8404.0,2636.0,1.0
μ[1],6.317,0.041,6.242,6.391,0.0,0.0,8387.0,2636.0,1.0
μ[2],6.332,0.041,6.259,6.408,0.0,0.0,8371.0,2636.0,1.0
μ[3],6.347,0.041,6.275,6.423,0.0,0.0,8362.0,2643.0,1.0
μ[4],6.363,0.04,6.287,6.435,0.0,0.0,8351.0,2642.0,1.0
μ[5],6.378,0.04,6.302,6.45,0.0,0.0,8338.0,2642.0,1.0
μ[6],6.393,0.04,6.318,6.465,0.0,0.0,8327.0,2661.0,1.0
μ[7],6.408,0.04,6.333,6.479,0.0,0.0,8318.0,2660.0,1.0
μ[8],6.423,0.04,6.349,6.495,0.0,0.0,8308.0,2660.0,1.0
