,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
σ[10],1.048,0.036,0.981,1.114,0.0,0.0,10532.0,3002.0,1.0
σ[11],0.492,0.016,0.462,0.524,0.0,0.0,9069.0,2569.0,1.0
σ[12],0.38,0.013,0.356,0.404,0.0,0.0,8942.0,2530.0,1.0
σ[13],0.869,0.03,0.814,0.924,0.0,0.0,9921.0,2820.0,1.0
σ[14],1.038,0.035,0.971,1.104,0.0,0.0,10653.0,2690.0,1.0
σ[15],0.883,0.029,0.83,0.941,0.0,0.0,7485.0,2967.0,1.0
σ[16],0.5,0.017,0.47,0.533,0.0,0.0,11266.0,2665.0,1.0
σ[17],0.405,0.013,0.379,0.43,0.0,0.0,9579.0,2461.0,1.0
σ[18],0.527,0.018,0.494,0.561,0.0,0.0,10662.0,2571.0,1.0
σ[19],0.309,0.011,0.29,0.329,0.0,0.0,9768.0,2717.0,1.0
σ[20],0.699,0.024,0.656,0.744,0.0,0.0,11965.0,2643.0,1.0
σ[21],0.556,0.019,0.52,0.592,0.0,0.0,8746.0,2241.0,1.0
σ[22],0.839,0.03,0.785,0.893,0.0,0.0,9803.0,2784.0,1.0
σ[23],0.428,0.015,0.401,0.456,0.0,0.0,9394.0,2461.0,1.0
σ[24],0.248,0.009,0.232,0.264,0.0,0.0,8810.0,2668.0,1.0
σ[25],0.34,0.012,0.319,0.363,0.0,0.0,7945.0,2678.0,1.0
σ[26],0.295,0.01,0.275,0.313,0.0,0.0,9238.0,2733.0,1.0
σ[27],0.37,0.013,0.346,0.395,0.0,0.0,10935.0,2410.0,1.0
σ[28],0.577,0.02,0.54,0.615,0.0,0.0,9644.0,2777.0,1.0
σ[29],1.237,0.042,1.156,1.315,0.0,0.0,8358.0,2811.0,1.0
σ[30],0.632,0.022,0.594,0.676,0.0,0.0,8064.0,2417.0,1.0
σ[31],0.213,0.007,0.2,0.226,0.0,0.0,9429.0,2661.0,1.0
σ[32],1.058,0.036,0.99,1.123,0.0,0.0,9405.0,2794.0,1.0
σ[33],0.353,0.012,0.33,0.375,0.0,0.0,10956.0,2610.0,1.0
σ[34],0.474,0.016,0.443,0.504,0.0,0.0,8928.0,2670.0,1.0
σ[35],0.33,0.012,0.309,0.352,0.0,0.0,9481.0,2509.0,1.0
σ[36],0.335,0.011,0.313,0.356,0.0,0.0,8094.0,2193.0,1.0
σ[37],0.781,0.027,0.728,0.83,0.0,0.0,10860.0,2539.0,1.0
σ[38],0.92,0.033,0.863,0.985,0.0,0.0,10114.0,2465.0,1.0
σ[39],0.528,0.018,0.496,0.563,0.0,0.0,7618.0,2714.0,1.0
σ[40],0.566,0.02,0.531,0.603,0.0,0.0,9403.0,2813.0,1.0
σ[41],0.603,0.02,0.564,0.639,0.0,0.0,8860.0,2820.0,1.0
σ[42],0.271,0.009,0.255,0.288,0.0,0.0,10812.0,2649.0,1.0
σ[43],0.398,0.014,0.373,0.423,0.0,0.0,7532.0,2455.0,1.0
σ[44],0.311,0.011,0.291,0.331,0.0,0.0,12364.0,2101.0,1.0
σ[45],0.988,0.035,0.928,1.057,0.0,0.0,10863.0,2907.0,1.0
