,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
μ[129],14.183,0.072,14.049,14.313,0.001,0.001,2412.0,2574.0,1.0
μ[130],14.196,0.071,14.063,14.326,0.001,0.001,2421.0,2646.0,1.0
μ[131],14.21,0.071,14.077,14.339,0.001,0.001,2431.0,2646.0,1.0
μ[132],14.223,0.071,14.091,14.353,0.001,0.001,2440.0,2646.0,1.0
μ[133],14.237,0.071,14.105,14.367,0.001,0.001,2448.0,2683.0,1.0
μ[134],14.25,0.07,14.119,14.379,0.001,0.001,2460.0,2683.0,1.0
μ[135],14.264,0.07,14.133,14.393,0.001,0.001,2470.0,2702.0,1.0
μ[136],14.277,0.07,14.148,14.406,0.001,0.001,2480.0,2781.0,1.0
μ[137],14.291,0.07,14.162,14.42,0.001,0.001,2491.0,2781.0,1.0
μ[138],14.304,0.069,14.176,14.433,0.001,0.001,2502.0,2782.0,1.0
μ[139],14.318,0.069,14.19,14.446,0.001,0.001,2514.0,2782.0,1.0
μ[140],14.331,0.069,14.204,14.459,0.001,0.001,2525.0,2782.0,1.0
μ[141],14.345,0.069,14.209,14.463,0.001,0.001,2537.0,2802.0,1.0
μ[142],14.359,0.068,14.223,14.477,0.001,0.001,2550.0,2843.0,1.0
μ[143],14.372,0.068,14.245,14.498,0.001,0.001,2562.0,2825.0,1.0
μ[144],14.386,0.068,14.251,14.504,0.001,0.001,2574.0,2843.0,1.0
μ[145],14.399,0.068,14.264,14.516,0.001,0.001,2587.0,2865.0,1.0
μ[146],14.413,0.067,14.278,14.529,0.001,0.001,2601.0,2865.0,1.0
μ[147],14.426,0.067,14.299,14.549,0.001,0.001,2614.0,2864.0,1.0
μ[148],14.44,0.067,14.312,14.562,0.001,0.001,2628.0,2865.0,1.0
μ[149],14.453,0.067,14.326,14.575,0.001,0.001,2641.0,2865.0,1.0
μ[150],14.467,0.067,14.34,14.587,0.001,0.001,2654.0,2880.0,1.0
μ[151],14.48,0.066,14.354,14.601,0.001,0.001,2670.0,2977.0,1.0
μ[152],14.494,0.066,14.368,14.614,0.001,0.001,2686.0,2954.0,1.0
μ[153],14.507,0.066,14.38,14.626,0.001,0.001,2700.0,2928.0,1.0
μ[154],14.521,0.066,14.395,14.64,0.001,0.001,2715.0,3001.0,1.0
μ[155],14.534,0.066,14.409,14.653,0.001,0.001,2729.0,3001.0,1.0
μ[156],14.548,0.065,14.422,14.666,0.001,0.001,2744.0,2978.0,1.0
μ[157],14.561,0.065,14.435,14.679,0.001,0.001,2760.0,2982.0,1.0
μ[158],14.575,0.065,14.449,14.692,0.001,0.001,2777.0,2982.0,1.0
μ[159],14.588,0.065,14.462,14.705,0.001,0.001,2792.0,2959.0,1.0
μ[160],14.602,0.065,14.476,14.718,0.001,0.001,2808.0,2959.0,1.0
μ[161],14.615,0.064,14.489,14.73,0.001,0.001,2826.0,2935.0,1.0
μ[162],14.629,0.064,14.503,14.743,0.001,0.001,2843.0,2913.0,1.0
μ[163],14.642,0.064,14.518,14.757,0.001,0.001,2862.0,2913.0,1.0
μ[164],14.656,0.064,14.531,14.77,0.001,0.001,2880.0,2958.0,1.0
μ[165],14.67,0.064,14.545,14.783,0.001,0.001,2899.0,2934.0,1.0
μ[166],14.683,0.063,14.559,14.796,0.001,0.001,2916.0,2934.0,1.0
μ[167],14.697,0.063,14.569,14.806,0.001,0.001,2935.0,2934.0,1.0
μ[168],14.71,0.063,14.582,14.819,0.001,0.001,2954.0,2934.0,1.0
μ[169],14.724,0.063,14.596,14.832,0.001,0.001,2973.0,2958.0,1.0
μ[170],14.737,0.063,14.61,14.845,0.001,0.001,2993.0,3020.0,1.0
μ[171],14.751,0.063,14.624,14.859,0.001,0.001,3012.0,3020.0,1.0
μ[172],14.764,0.062,14.637,14.872,0.001,0.001,3034.0,3094.0,1.0
μ[173],14.778,0.062,14.652,14.886,0.001,0.001,3054.0,3020.0,1.0
μ[174],14.791,0.062,14.667,14.901,0.001,0.001,3075.0,3093.0,1.0
μ[175],14.805,0.062,14.68,14.914,0.001,0.001,3097.0,3094.0,1.0
μ[176],14.818,0.062,14.694,14.928,0.001,0.001,3119.0,3069.0,1.0
μ[177],14.832,0.062,14.708,14.941,0.001,0.001,3142.0,3119.0,1.0
μ[178],14.845,0.062,14.722,14.955,0.001,0.001,3167.0,3119.0,1.0
μ[179],14.859,0.061,14.732,14.964,0.001,0.001,3193.0,3120.0,1.0
μ[180],14.872,0.061,14.746,14.977,0.001,0.001,3218.0,3120.0,1.0
μ[181],14.886,0.061,14.761,14.991,0.001,0.001,3241.0,3187.0,1.0
μ[182],14.899,0.061,14.774,15.004,0.001,0.001,3267.0,3164.0,1.0
μ[183],14.913,0.061,14.788,15.018,0.001,0.001,3287.0,3138.0,1.0
μ[184],14.926,0.061,14.802,15.03,0.001,0.001,3310.0,3120.0,1.0
μ[185],14.94,0.061,14.816,15.044,0.001,0.001,3335.0,3120.0,1.0
μ[186],14.953,0.06,14.831,15.058,0.001,0.001,3361.0,3120.0,1.0
μ[187],14.967,0.06,14.845,15.072,0.001,0.001,3386.0,3120.0,1.0
μ[188],14.98,0.06,14.859,15.086,0.001,0.001,3412.0,3145.0,1.0
μ[189],14.994,0.06,14.872,15.099,0.001,0.001,3441.0,3171.0,1.0
μ[190],15.008,0.06,14.885,15.111,0.001,0.001,3464.0,3198.0,1.0
μ[191],15.021,0.06,14.9,15.126,0.001,0.001,3492.0,3172.0,1.0
μ[192],15.035,0.06,14.918,15.143,0.001,0.001,3515.0,3245.0,1.0
μ[193],15.048,0.06,14.932,15.157,0.001,0.001,3539.0,3245.0,1.0
μ[194],15.062,0.06,14.946,15.17,0.001,0.001,3567.0,3185.0,1.0
μ[195],15.075,0.059,14.96,15.183,0.001,0.001,3594.0,3106.0,1.0
μ[196],15.089,0.059,14.973,15.196,0.001,0.001,3623.0,3108.0,1.0
μ[197],15.102,0.059,14.987,15.209,0.001,0.001,3651.0,3108.0,1.0
μ[198],15.116,0.059,15.001,15.223,0.001,0.001,3680.0,3133.0,1.0
μ[199],15.129,0.059,15.015,15.236,0.001,0.001,3705.0,3105.0,1.0
μ[200],15.143,0.059,15.031,15.252,0.001,0.001,3736.0,3108.0,1.0
μ[201],15.156,0.059,15.044,15.265,0.001,0.001,3768.0,3156.0,1.0
μ[202],15.17,0.059,15.057,15.278,0.001,0.001,3798.0,3137.0,1.0
μ[203],15.183,0.059,15.069,15.289,0.001,0.001,3829.0,3137.0,1.0
μ[204],15.197,0.059,15.084,15.304,0.001,0.001,3862.0,3157.0,1.0
μ[205],15.21,0.059,15.098,15.317,0.001,0.001,3892.0,3163.0,1.0
μ[206],15.224,0.059,15.112,15.331,0.001,0.001,3925.0,3217.0,1.0
μ[207],15.237,0.058,15.124,15.342,0.001,0.001,3957.0,3216.0,1.0
μ[208],15.251,0.058,15.139,15.356,0.001,0.001,3989.0,3217.0,1.0
μ[209],15.264,0.058,15.153,15.37,0.001,0.001,4022.0,3190.0,1.0
μ[210],15.278,0.058,15.166,15.383,0.001,0.001,4054.0,3190.0,1.0
μ[211],15.291,0.058,15.18,15.397,0.001,0.001,4093.0,3164.0,1.0
μ[212],15.305,0.058,15.194,15.41,0.001,0.001,4126.0,3190.0,1.0
μ[213],15.318,0.058,15.206,15.424,0.001,0.001,4164.0,3218.0,1.0
μ[214],15.332,0.058,15.222,15.439,0.001,0.001,4200.0,3218.0,1.0
μ[215],15.346,0.058,15.237,15.454,0.001,0.001,4228.0,3218.0,1.0
μ[216],15.359,0.058,15.249,15.466,0.001,0.001,4261.0,3191.0,1.0
μ[217],15.373,0.058,15.262,15.48,0.001,0.001,4292.0,3273.0,1.0
μ[218],15.386,0.058,15.274,15.492,0.001,0.001,4324.0,3245.0,1.0
μ[219],15.4,0.058,15.289,15.506,0.001,0.001,4358.0,3245.0,1.0
μ[220],15.413,0.058,15.302,15.52,0.001,0.001,4391.0,3219.0,1.0
μ[221],15.427,0.058,15.316,15.534,0.001,0.001,4426.0,3219.0,1.0
μ[222],15.44,0.058,15.33,15.548,0.001,0.001,4463.0,3219.0,1.0
μ[223],15.454,0.058,15.345,15.563,0.001,0.001,4495.0,3219.0,1.0
μ[224],15.467,0.058,15.357,15.574,0.001,0.001,4524.0,3191.0,1.0
μ[225],15.481,0.058,15.371,15.588,0.001,0.001,4556.0,3219.0,1.0
μ[226],15.494,0.058,15.384,15.602,0.001,0.001,4591.0,3246.0,1.0
μ[227],15.508,0.058,15.398,15.616,0.001,0.001,4621.0,3246.0,1.0
μ[228],15.521,0.058,15.412,15.63,0.001,0.001,4652.0,3246.0,1.0
μ[229],15.535,0.058,15.428,15.646,0.001,0.001,4681.0,3273.0,1.0
μ[230],15.548,0.058,15.441,15.66,0.001,0.001,4711.0,3270.0,1.0
μ[231],15.562,0.058,15.455,15.673,0.001,0.001,4741.0,3270.0,1.0
μ[232],15.575,0.058,15.467,15.685,0.001,0.001,4770.0,3158.0,1.0
μ[233],15.589,0.058,15.482,15.701,0.001,0.001,4801.0,3110.0,1.0
μ[234],15.602,0.058,15.495,15.714,0.001,0.001,4830.0,3110.0,1.0
μ[235],15.616,0.058,15.508,15.727,0.001,0.001,4847.0,3057.0,1.0
μ[236],15.629,0.058,15.522,15.741,0.001,0.001,4878.0,3084.0,1.0
μ[237],15.643,0.058,15.535,15.754,0.001,0.001,4907.0,3040.0,1.0
μ[238],15.656,0.058,15.548,15.768,0.001,0.001,4935.0,3012.0,1.0
μ[239],15.67,0.058,15.562,15.782,0.001,0.001,4962.0,3012.0,1.0
μ[240],15.684,0.058,15.575,15.795,0.001,0.001,4988.0,2982.0,1.0
μ[241],15.697,0.058,15.589,15.809,0.001,0.001,5014.0,2936.0,1.0
μ[242],15.711,0.058,15.602,15.823,0.001,0.001,5039.0,2935.0,1.0
μ[243],15.724,0.058,15.615,15.836,0.001,0.001,5059.0,2935.0,1.0
μ[244],15.738,0.058,15.628,15.85,0.001,0.001,5084.0,2892.0,1.0
μ[245],15.751,0.059,15.642,15.864,0.001,0.001,5102.0,2955.0,1.0
μ[246],15.765,0.059,15.661,15.884,0.001,0.001,5125.0,2957.0,1.0
μ[247],15.778,0.059,15.668,15.89,0.001,0.001,5147.0,2930.0,1.0
μ[248],15.792,0.059,15.678,15.901,0.001,0.001,5171.0,2953.0,1.0
μ[249],15.805,0.059,15.702,15.925,0.001,0.001,5191.0,2931.0,1.0
μ[250],15.819,0.059,15.716,15.939,0.001,0.001,5212.0,2864.0,1.0
μ[251],15.832,0.059,15.719,15.943,0.001,0.001,5226.0,2843.0,1.0
μ[252],15.846,0.059,15.741,15.965,0.001,0.001,5245.0,2843.0,1.0
μ[253],15.859,0.059,15.755,15.979,0.001,0.001,5263.0,2974.0,1.0
μ[254],15.873,0.059,15.768,15.992,0.001,0.001,5285.0,2954.0,1.0
